Context;Condition;Sentence
SentenceFrame113;BC;In the old West stagecoaches were pulled by horses .
SentenceFrame114;U;She went to the salon to color her toes .
SentenceFrame114;BC;She went to the salon to color her hair .
SentenceFrame115;U;Brian poured some sauce on his rare meat .
SentenceFrame115;BC;Brian poured some sauce on his rare steak .
SentenceFrame116;U;She was named after her conversion .
SentenceFrame116;BC;She was named after her mother .
SentenceFrame117;R;Every Sunday morning people pray in their local congregation .
SentenceFrame117;BC;Every Sunday morning people pray in their local church .
SentenceFrame118;U;Sam could not believe her story was true .
SentenceFrame118;BC;Sam could not believe her story was told .
SentenceFrame119;R;Tim threw a rock and broke the glass .
SentenceFrame119;BC;Tim threw a rock and broke the window .
SentenceFrame120;R;The doctor set the man 's broken leg in a splint .
SentenceFrame120;BC;The doctor set the man 's broken leg in a cast .
SentenceFrame121;U;We sprayed the yard to keep away the skunks .
SentenceFrame121;BC;We sprayed the yard to keep away the bugs .
SentenceFrame122;U;He hung her coat in the back .
SentenceFrame122;BC;He hung her coat in the closet .
SentenceFrame123;U;The lawyer feared that his client would be found crazy .
SentenceFrame123;BC;The lawyer feared that his client would be found guilty .
SentenceFrame124;R;New York is a very busy town .
SentenceFrame124;BC;New York is a very busy city .
SentenceFrame125;U;He bought a wall to wall bed .
SentenceFrame125;BC;He bought a wall to wall carpet .
SentenceFrame126;R;The gas station is about two miles down the path .
SentenceFrame126;BC;The gas station is about two miles down the road .
SentenceFrame127;U;Be careful because the top of the stove is very cluttered .
SentenceFrame127;BC;Be careful because the top of the stove is very hot .
SentenceFrame128;U;John filled the pen with care .
SentenceFrame128;BC;John filled the pen with ink .
SentenceFrame129;R;The children held hands and formed a ring .
SentenceFrame129;BC;The children held hands and formed a circle .
SentenceFrame130;R;The fire engine raced down the main street . 
SentenceFrame130;BC;The fire engine raced down the main road .
SentenceFrame131;U;Don 't believe everything you suspect .
SentenceFrame131;BC;Don 't believe everything you hear .
SentenceFrame132;U;None of his books made much sense .
SentenceFrame132;BC;None of his books made much money.
SentenceFrame133;U;He put a clean sheet on the clipboard .
SentenceFrame133;BC;He put a clean sheet on the bed .
SentenceFrame134;U;The parents pleaded with their daughter to come quietly .
SentenceFrame134;BC;The parents pleaded with their daughter to come home .
SentenceFrame135;U;When the two met one of them held out his ID .
SentenceFrame135;BC;When the two met one of them held out his hand .
SentenceFrame136;U;The boat passed easily under the falls .
SentenceFrame136;BC;The boat passed easily under the bridge .
SentenceFrame137;R;The picnic was ruined by the downpour of showers .
SentenceFrame137;BC;The picnic was ruined by the downpour of rain .
SentenceFrame138;U;Most cats can see very well at distances .
SentenceFrame138;BC;Most cats can see very well at night .
SentenceFrame139;R;Captain Sheir wanted to stay with the sinking boat .
SentenceFrame139;BC;Captain Sheir wanted to stay with the sinking ship .
SentenceFrame140;U;The janitor washed the dirty ashtrays .
SentenceFrame140;BC;The janitor washed the dirty floors.
SentenceFrame141;U;Betsy could not read very well without her dictionary .
SentenceFrame141;BC;Betsy could not read very well without her glasses .
SentenceFrame142;U;He was knocked off his surfboard by the first bully .
SentenceFrame142;BC;He was knocked off his surfboard by the first wave .
SentenceFrame143;U;Bob proposed but she turned him in .
SentenceFrame143;BC;Bob proposed but she turned him down .
SentenceFrame144;R;The movie ended so sadly that Julie started to sob .
SentenceFrame144;BC;The movie ended so sadly that Julie started to .
SentenceFrame145;U;I returned the overdue book to the bag .
SentenceFrame145;BC;I returned the overdue book to the library .
SentenceFrame146;U;Her new shoes were the wrong color .
SentenceFrame146;BC;Her new shoes were the wrong size .
SentenceFrame147;R;Dick wrote a chapter in the novel .
SentenceFrame147;BC;Dick wrote a chapter in the book .
SentenceFrame148;R;She tied up her hair in a yellow bow .
SentenceFrame148;BC;She tied up her hair in a yellow ribbon .
SentenceFrame149;R;Sharon dried the dishes with a kitchen rag .
SentenceFrame149;BC;Sharon dried the dishes with a kitchen towel .
SentenceFrame150;U;While the national anthem plays everyone is expected to behave .
SentenceFrame150;BC;While the national anthem plays everyone is expected to stand .
SentenceFrame151;R;He bought the chocolates at the candy shop .
SentenceFrame151;BC;He bought the chocolates at the candy store .
SentenceFrame152;R;After the accident they went for aid .
SentenceFrame152;BC;After the accident they went for help .
SentenceFrame153;U;After dinner they washed the dog .
SentenceFrame153;BC;After dinner they washed the dishes .
SentenceFrame154;R;Jill decided to put vanilla icing on the chocolate cookie .
SentenceFrame154;BC;Jill decided to put vanilla icing on the chocolate cake .
SentenceFrame155;R;His kite got tangled in the oak branches .
SentenceFrame155;BC;His kite got tangled in the oak tree .
SentenceFrame156;R;The store detective accused him of theft .
SentenceFrame156;BC;The store detective accused him of shoplifting .
SentenceFrame157;U;The prisoner was sent back to his duties .
SentenceFrame157;BC;The prisoner was sent back to his cell .
SentenceFrame158;R;After being robbed the victim called the cops .
SentenceFrame158;BC;After being robbed the victim called the police .
SentenceFrame159;U;It was important to be on top .
SentenceFrame159;BC;It was important to be on time .
SentenceFrame160;U;Because he had a toothache he called his boss .
SentenceFrame160;BC;Because he had a toothache he called his dentist .
SentenceFrame161;U;Pam didn 't have any clothes to donate .
SentenceFrame161;BC;Pam didn 't have any clothes to wear .
SentenceFrame162;R;He Likes lemon and sugar in his coffee .
SentenceFrame162;BC;He Likes lemon and sugar in his tea .
SentenceFrame163;R;She made a salami sandwich on wheat rolls .
SentenceFrame163;BC;She made a salami sandwich on wheat bread .
SentenceFrame164;U;They drove to a private airport to catch the thieves .
SentenceFrame164;BC;They drove to a private airport to catch the plane .
SentenceFrame165;R;The kids fed the ducks some stale crumbs .
SentenceFrame165;BC;The kids fed the ducks some stale bread .
SentenceFrame166;U;Don 't touch the wet dog .
SentenceFrame166;BC;Don 't touch the wet paint .
SentenceFrame167;U;The child was born with a rare gift .
SentenceFrame167;BC;The child was born with a rare disease .
SentenceFrame168;R;Yesterday they canoed down the rapids .
SentenceFrame168;BC;Yesterday they canoed down the river .
SentenceFrame169;U;Smoking may be hazardous to your neighbors .
SentenceFrame169;BC;Smoking may be hazardous to your health .
SentenceFrame170;U;They saw the lightning and heard the screams .
SentenceFrame170;BC;They saw the lightning and heard the thunder .
SentenceFrame171;U;It felt much colder when the sun was behind a tree .
SentenceFrame171;BC;It felt much colder when the sun was behind a cloud .
SentenceFrame172;U;The squirrel stored some nuts in the hole .
SentenceFrame172;BC;The squirrel stored some nuts in the tree .
SentenceFrame173;R;Burt used a match to light the dying flame .
SentenceFrame173;BC;Burt used a match to light the dying fire .
SentenceFrame174;U;The car pulled up and took the last parking meter .
SentenceFrame174;BC;The car pulled up and took the last parking space .
SentenceFrame175;R;The society 's annual dues were fifty bucks .
SentenceFrame175;BC;The society 's annual dues were fifty dollars .
